,headlines
0,"The Morning After: Valve warns you, again, against modifying your Steam Deck"
1,The NuraTrue Pro brings 'CD-quality' to its personalized Bluetooth headphones
2,"Pro Display XDR stand patented by Apple, to support dual displays"
3,The M2 MacBook Pro’s performance is far worse than anyone thought
4,Tencent to explore hardware opportunities with extended reality unit - Reuters
5,Apple revokes certificates for spyware app ‘Hermit’ distributed outside the App Store
6,Apple Silicon's M2 Pro may shift to 3nm process in late 2022
7,"Apple readies M2 Ultra and M2 Extreme, will rely on M2 for mixed reality headset"
8,"T-Mobile is now selling app usage data to advertisers, but iPhone users are in the clear"
9,Period tracking apps could see their data legally protected; How to secure yours
10,This app fixes a big macOS Monterey mistake for Apple
11,Apple MacBook Pro M2 SSD performance falls short of its M1 predecessor
12,Factbox: What's changed - or stayed the same - since Hong Kong returned to China - Reuters
13,Snag a Refurb Pair of AirPods Pro for Just $130 Today Only - CNET
14,Best iPad travel accessories for summer 2022
